gender,ethnic,age_group,bmi_group,mean,sd,n_subjects
1,1,1,1,174.8,6.312,46
1,1,1,2,173,6.263,82
1,1,1,3,172.1,5.697,63
1,1,1,4,171.7,5.676,42
1,1,1,5,173.9,6.538,22
1,1,1,6,172.5,5.325,12
1,1,1,7,176.3,6.376,4
1,1,1,8,178.5,3.446,4
1,1,2,1,172.5,6.515,67
1,1,2,2,173.2,5.6,114
1,1,2,3,171.6,5.584,117
1,1,2,4,172.3,5.477,76
1,1,2,5,174.6,6.602,28
1,1,2,6,173.3,6.717,20
1,1,2,7,173.2,5.518,8
1,1,2,8,171.5,10.467,9
1,1,3,1,170.8,7.363,79
1,1,3,2,171,6.479,178
1,1,3,3,170.5,5.752,196
1,1,3,4,171,6.014,125
1,1,3,5,170.1,5.643,53
1,1,3,6,170.9,4.327,15
1,1,3,7,165.7,6.124,7
1,1,3,8,180.5,,1
1,1,4,1,168.5,6.086,54
1,1,4,2,168.4,5.521,138
1,1,4,3,168.9,6.03,173
1,1,4,4,169,5.943,97
1,1,4,5,167.2,6.285,46
1,1,4,6,171.1,5.231,16
1,1,4,7,170.3,7.157,11
1,1,4,8,164.8,4.887,4
1,1,5,1,167.1,6.724,37
1,1,5,2,166.7,5.687,74
1,1,5,3,166.2,5.864,103
1,1,5,4,167.7,4.891,63
1,1,5,5,166.6,5.915,22
1,1,5,6,162.8,6.136,4
1,1,5,7,166.6,0.849,2
1,1,5,8,164,,1
1,1,6,1,166.2,6.04,25
1,1,6,2,165.7,5.81,36
1,1,6,3,164.9,5.727,36
1,1,6,4,162.9,5.223,20
1,1,6,5,163.5,6.147,7
1,1,6,6,165.5,2.121,2
1,1,6,7,162.2,,1
1,1,6,8,,,0
1,2,1,1,170.6,5.945,28
1,2,1,2,169.8,6.619,52
1,2,1,3,169,5.604,41
1,2,1,4,170,5.834,34
1,2,1,5,168.5,6.652,32
1,2,1,6,174.7,6.04,11
1,2,1,7,171.7,9.317,5
1,2,1,8,174.9,6.165,14
1,2,2,1,172.2,5.891,14
1,2,2,2,170.3,4.892,29
1,2,2,3,169,5.849,32
1,2,2,4,169.9,5.825,55
1,2,2,5,171.7,5.324,24
1,2,2,6,169.8,8.023,14
1,2,2,7,165.7,6.458,8
1,2,2,8,172,7.582,14
1,2,3,1,165.9,5.321,30
1,2,3,2,168.6,6.45,39
1,2,3,3,168.6,6.035,100
1,2,3,4,167.3,5.06,80
1,2,3,5,168.3,5.792,73
1,2,3,6,166.9,6.868,25
1,2,3,7,170.7,6.489,11
1,2,3,8,169.1,7.165,9
1,2,4,1,167.4,5.216,19
1,2,4,2,168.6,5.919,34
1,2,4,3,167.1,6.29,64
